x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
3475,0.000708662,0.0007135833101718076,3.633438727768244e-07,1.0341397914239855e-32,5.9582434684339216e-08,5.409311394040648e-23,0.0001632850416124211,0.0005502531835404664
3470,0.000740641,0.0007160176395039703,3.694944721943817e-07,1.0515830672835682e-32,6.071626317303632e-08,5.515827315303466e-23,0.00016877843276181994,0.0005471868372953241
3465,0.00070289,0.0007161399114819634,3.758025395201626e-07,1.069470587371996e-32,6.188271888379998e-08,5.625519842843425e-23,0.0001743986783954519,0.0005416813891166486
3460,0.000698228,0.000714099808796304,3.822734949870909e-07,1.0878175366429091e-32,6.308306388409317e-08,5.738516525210718e-23,0.00018014890896825186,0.000533883384557722
3455,0.000747213,0.0007101010526655709,3.8891299400549964e-07,1.10663975314665e-32,6.431862176522265e-08,5.854951375864268e-23,0.00018603281273523898,0.0005239928496031022
3450,0.000783153,0.0007043892025854273,3.9572693951196246e-07,1.1259537619603962e-32,6.559078127103004e-08,5.974965270304873e-23,0.00019205472592294736,0.0005122510002302381
3445,0.000690792,0.0006972380265567043,4.0272149508109077e-07,1.1457768111884413e-32,6.690100017834022e-08,6.098706371956104e-23,0.00019821973333157284,0.0004989265120184131
3440,0.000764856,0.0006889357870228959,4.099030988546334e-07,1.1661269101779175e-32,6.825080944929484e-08,6.22633058919542e-23,0.00020453378037729402,0.00048430169402583894
3435,0.000708057,0.000679772599005365,4.172784783466093e-07,1.1870228701068113e-32,6.96418176775244e-08,6.358002066166084e-23,0.00021100379762780484,0.0004686597223700771
3430,0.000663249,0.0006700297039278214,4.248546661879931e-07,1.2084843471136911e-32,7.1075715852123e-08,6.493893710253086e-23,0.00021763783889946274,0.0004522737759348596
3425,0.000624656,0.0006599711427387394,4.326390168796995e-07,1.2305318881522757e-32,7.255428246560711e-08,6.634187759385886e-23,0.00022444523395455024,0.00043539855677338497
3420,0.000661786,0.0006498379730111179,4.4063922462832385e-07,1.2531869797689046e-32,7.407938899448756e-08,6.77907639264112e-23,0.0002314367567376184,0.00041826433894841773
3415,0.000651775,0.0006398449025404957,4.4886334234533497e-07,1.2764721000172893e-32,7.565300578378632e-08,6.928762387962675e-23,0.00023862480988633367,0.000401073417594574
3410,0.000605935,0.0006301790271802291,4.573198018972469e-07,1.3004107737427153e-32,7.727720836982068e-08,7.083459831199343e-23,0.0002460236258964589,0.0003839986455620443
3405,0.00065886,0.0006210002625545295,4.660174357017674e-07,1.325027631487349e-32,7.895418427888528e-08,7.24339488108602e-23,0.00025364948474544235,0.0003671836474776476
