x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5
3025,0.000223081,0.00018519807419259719,2.078044904267416e-06,1.9619190342130628e-07,2.0677274470744176e-05,0.00013537777034124948,1.996348428409848e-05
3020,0.000218628,0.00018205188908641733,2.2259288181944253e-06,2.101589841736811e-07,2.3543116921244393e-05,0.0001296115620619984,1.9555814011990116e-05
3015,0.000222423,0.00017979899010987037,2.3901721023657482e-06,2.2567173119737846e-07,2.7044769041254514e-05,0.00012407276799271725,1.9160300953519168e-05
3010,0.000187579,0.00017863672442257268,2.5732785714992e-06,2.429668076529518e-07,3.1383698477322e-05,0.00011875499857606169,1.8776473701220513e-05
3005,0.000182306,0.00017884899170180667,2.7782497817035388e-06,2.6232797005589665e-07,3.684720628054181e-05,0.00011365201606379141,1.840388331689769e-05
3000,0.000151333,0.0001808539465760788,3.0087085950344806e-06,2.8409789818184194e-07,4.385601916282375e-05,0.00010875771060331842,1.8042102027904e-05
2998,0.000182107,0.0001822900966528266,3.108984634902023e-06,2.935708772732637e-07,4.722483849817482e-05,0.00010685707028950006,1.790032406416012e-05
2995,0.000152633,0.0001852882565385911,3.269060046881559e-06,3.0869418381482084e-07,5.304839198830864e-05,0.00010406608001038906,1.7690722020380687e-05
2992,0.000155988,0.0001895199345607735,3.441816120591335e-06,3.2501825276088683e-07,6.0017144680255486e-05,0.00010134592315293182,1.7484724065417626e-05
2989,0.000146423,0.00019534405749776015,3.6286275171029887e-06,3.426768519451455e-07,6.848985888674887e-05,9.869533666282864e-05,1.728224929031819e-05
2986,0.000135117,0.00020336989772204786,3.831060212285443e-06,3.618276257380542e-07,7.907541595350697e-05,9.611306662647617e-05,1.7083219015224873e-05
2983,0.000133788,0.00021480785600713897,4.050904334920575e-06,3.826633301942659e-07,9.298355578974538e-05,9.35978675474452e-05,1.6887556716017212e-05
2980,0.00015928,0.0002323181508566283,4.290213768332066e-06,4.05434146125734e-07,0.00011287350495133335,9.114850174812416e-05,1.669518795389666e-05
2977,0.000167788,0.00026180077298313786,4.551354154287117e-06,4.304933013046451e-07,0.00014464383804218138,8.876373888879094e-05,1.650604030775749e-05
2974,0.000272867,0.0003155246690072676,4.8370613981079685e-06,4.5839061290259345e-07,0.00020056150980187742,8.644235559636447e-05,1.6320043309198777e-05
2971,0.000613103,0.0004162958991037294,5.150513382149091e-06,4.900617171350518e-07,0.0003034297521404584,8.418313519512738e-05,1.6137128380043217e-05
2968,0.001034635,0.000600644257610222,5.49541840512285e-06,5.272021954927696e-07,0.0004897742324167559,8.198486753179589e-05,1.5957228772238295e-05
2965,0.001526373,0.0009167910804543145,5.8761249535095e-06,5.729865263726005e-07,0.0008078100322881529,7.984634888743909e-05,1.578027951002402e-05
2962,0.002106248,0.0014126235809139266,6.297758887296151e-06,6.334063148916383e-07,0.0013054145081197576,7.776638196890521e-05,1.5606217334259492e-05
2959,0.002613782,0.002112866548922968,6.766396142428343e-06,7.196770782281271e-07,0.0020072964107920887,7.574377597259889e-05,1.5434980648807653e-05
2956,0.002996279,0.0029923359067899817,7.289281845362758e-06,8.524118590244834e-07,0.0028882450486142344,7.377734671366025e-05,1.5266509468884102e-05
2953,0.003297158,0.0039535786637151585,7.875110638589909e-06,1.0685851337046634e-06,0.0038507629974689414,7.186591681382461e-05,1.5100745371281811e-05
2950,0.004199121,0.004800452019109149,8.534388534781527e-06,1.432687111288236e-06,0.00469863368778639,7.000831594148433e-05,1.4937631446388986e-05
2947,0.004851414,0.0052243289802354305,9.279904516755704e-06,2.0538249303630855e-06,0.005123109449149845,6.820338109772903e-05,1.4777112251922082e-05
2944,0.005564388,0.0049926272445967625,1.0127351558762336e-05,3.1107236655053355e-06,0.004891414770372972,6.644995694240649e-05,1.461913376830078e-05
2941,0.005323687,0.004240532521193837,1.1096153603858628e-05,4.886395051308228e-06,0.004138434124739741,6.474689615451826e-05,1.4463643355595518e-05
2938,0.003223955,0.0032891763853188575,1.221058022318223e-05,7.81338106252391e-06,0.0031848434662108114,6.309305982154153e-05,1.4310589711982266e-05
2935,0.00221567,0.0023728192290323824,1.3501268955892253e-05,1.2528623803772883e-05,0.0022642367872977086,6.148731785254995e-05,1.4159922833642523e-05
2932,0.001001632,0.0016169409015107975,1.5007334538591836e-05,1.993392055461311e-05,0.001501154194742438,5.992854941028812e-05,1.4011593976049854e-05
2929,0.000393773,0.0010682495414972373,1.6779337656415255e-05,3.125358479239351e-05,0.000941030111785388,5.8415643357636875e-05,1.3865555616587227e-05
2926,0.000122416,0.000716419559688362,1.8883536462583315e-05,4.8075761503542816e-05,0.0005718856933007901,5.694749871418714e-05,1.3721761418442266e-05
2923,8.5267e-05,0.0005199717865675915,2.140809273372069e-05,7.235882521547992e-05,0.0003501963690149253,5.552302511891932e-05,1.3580166195729974e-05
