x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
3330,0.000589009,0.0005447808117656634,1.537288136112836e-09,6.620285741415141e-07,1.3255956441560677e-06,1.5319539713478933e-06,6.485857402506286e-07,0.000258191029976124,0.00018964642885218707,1.2692395912045183e-05
3325,0.00062714,0.0005500700465888763,1.5698342216003632e-09,6.769229335885866e-07,1.3563696703292361e-06,1.571968171873725e-06,6.666873101359924e-07,0.0002713996515958791,0.00018255549320900528,1.2276449102778226e-05
3320,0.000705076,0.0005568960277626148,1.6034245831658782e-09,6.923256261128693e-07,1.388227179741646e-06,1.6135706362096513e-06,6.855571888761234e-07,0.0002852128399772964,0.00017565498334444135,1.1879751906871053e-05
3315,0.000567961,0.0005651917285424498,1.63810436454549e-09,7.082600486647572e-07,1.4212196029090512e-06,1.6568465354606545e-06,7.052394680068732e-07,0.00029960280606426167,0.00016896042007796456,1.1501190509322653e-05
3310,0.000648838,0.0005748636952031853,1.6739211747335586e-09,7.247509598978181e-07,1.455401456383384e-06,1.7018868266176344e-06,7.257814470276693e-07,0.00031452476012601644,0.00016248301793198678,1.1139725994526506e-05
3305,0.000631425,0.000585788981650208,1.7109252512608525e-09,7.418245763847657e-07,1.4908305674945514e-06,1.7487887306413434e-06,7.472339175305946e-07,0.00032991367400261206,0.00015623026212303447,1.079438882214728e-05
3300,0.000661371,0.0005978118929811578,1.7491696362255464e-09,7.595086768590547e-07,1.5275683184068395e-06,1.7976562572703384e-06,7.696514771192979e-07,0.00034568100071266823,0.0001502064527409901,1.046427372157174e-05
3295,0.000701101,0.0006107408648208023,1.788710366227889e-09,7.778327152563353e-07,1.5656799114090328e-06,1.8486007818447849e-06,7.9309287674033e-07,0.0003617115847142397,0.00014441320681910123,1.0148534976115875e-05
3290,0.000668024,0.0006243459227126501,1.8296066774773905e-09,7.968279434150855e-07,1.6052346575744238e-06,1.9017416801217567e-06,8.176214055526184e-07,0.0003778610839693378,0.00013884991318636715,9.846382069192936e-06
3285,0.000703588,0.0006383572804516669,1.8719212274732058e-09,8.165275443912664e-07,1.6463062911715213e-06,1.9572070278410807e-06,8.433053180426345e-07,0.00039395431325340966,0.0001335141381977402,9.557075665901775e-06
3280,0.000693664,0.0006524657268572777,1.91572033480543e-09,8.36966777449396e-07,1.6889733124824035e-06,2.0151343727000005e-06,8.702183087673401e-07,0.00040978499076587294,0.0001284019827823594,9.279923904891412e-06
3275,0.000740673,0.000666325487288469,1.9610742387894923e-09,8.58183135913533e-07,1.7333193619978629e-06,2.0756715874290407e-06,8.984400408905381e-07,0.0004251174041990059,0.0001235083928784195,9.01427897683116e-06
3270,0.000771458,0.000679560193410966,2.008057380829962e-09,8.802165191983768e-07,1.7794336293118538e-06,2.1389778138529855e-06,9.28056735590634e-07,0.0004396904803703413,0.00011882742637667345,8.759533967314975e-06
3265,0.000748108,0.0006917724175186913,2.056748709616415e-09,9.031094204951019e-07,1.8274113004385788e-06,2.2052245091967746e-06,9.591618304825929e-07,0.00045322461696667925,0.00011435248030258116,8.515119943519234e-06
3260,0.000778772,0.0007025569037144213,2.1072320124856174e-09,9.269071317613454e-07,1.8773540477305935e-06,2.2745966074880564e-06,9.91856716442651e-07,0.00046543139744787754,0.0001100764822421416,8.280503265388419e-06
